survey,load_cmd,cy_data,wt,source,year,notes,gesis_id,filepath
eb10A,"eb10A <- read_dta(""gesis_files/ZA0995/ZA0995_v1-0-1.dta"")","data_frame(v8 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom""), y_dcpo=1978)","wtA <- t_dataA$v5; wt[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", t_dataA$isocntry)] <- t_dataA$v6[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", t_dataA$isocntry)]; wt[grep(""GB\\-"", t_dataA$isocntry)] <- t_dataA$v7[grep(""GB\\-"", t_dataA$isocntry)]",GESIS: ZA0995,1978,NA,ZA0995,~/Documents/Projects/Data/gesis_files/eb_files/ZA0995/
eb11,"eb11 <- read_dta(""gesis_files/ZA1036/ZA1036_v1-0-1.dta"")","data_frame(v8 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom""), y_dcpo=1979)","wt <- t_data$v5; wt[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", t_data$isocntry)] <- t_data$v6[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", t_data$isocntry)]; wt[grep(""GB\\-"", t_data$isocntry)] <- t_data$v7[grep(""GB\\-"", t_data$isocntry)]",GESIS: ZA1036,1979,NA,ZA1036,~/Documents/Projects/Data/gesis_files/eb_files/ZA1036/
eb12,"eb12 <- read_dta(""gesis_files/ZA1037/ZA1037_v1-0-1.dta"")","data_frame(v8 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom""), y_dcpo=1979)","wt <- t_data$v5; wt[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", t_data$isocntry)] <- t_data$v6[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", t_data$isocntry)]; wt[grep(""GB\\-"", t_data$isocntry)] <- t_data$v7[grep(""GB\\-"", t_data$isocntry)]",GESIS: ZA1037,1979,NA,ZA1037,~/Documents/Projects/Data/gesis_files/eb_files/ZA1037/
eb13,"eb13 <- read_dta(""gesis_files/ZA1038/ZA1038_v1-0-1.dta"")","data_frame(v5 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom""), y_dcpo=1980)",wtOld <- t_data$v6; wt13New <-t_data$v7,GESIS: ZA1038,1980,including a new NATION WEIGHT (Not the UK weight) to generate frequencies comparable to those in earlier barometers,ZA1038,~/Documents/Projects/Data/gesis_files/eb_files/ZA1038/
eb14,"eb14 <- read_dta(""gesis_files/ZA1039/ZA1039_v1-0-1.dta"")","data_frame(v5 = 1:11, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom"", ""Greece""), y_dcpo=1980)",wtOld <- t_data$v6; wt14New <-t_data$v7,GESIS: ZA1039,1980,NA,ZA1039,~/Documents/Projects/Data/gesis_files/eb_files/ZA1039/
eb15,"eb15 <- read_dta(""gesis_files/ZA1206/ZA1206_v1-1-0.dta"")","data_frame(v5 = 1:11, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom"", ""Greece""), y_dcpo=1981)","wt <- t_data$v6; wt[grep(""FR"", ""NL"", ""DK"", t_data$isocntry)] <- t_data$v7[grep(""FR"", ""NL"", ""DK"", t_data$isocntry)]",GESIS: ZA1206,1981,NA,ZA1206,~/Documents/Projects/Data/gesis_files/eb_files/ZA1206/
eb16,"eb16 <- read_dta(""gesis_files/ZA1207/ZA1207_v1-0-1.dta"")","data_frame(v5 = 1:11, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom"", ""Greece""), y_dcpo=1981)","wt <- t_data$v7; wt[grep(""DE"", ""NL"", ""DK"", ""IE"", t_data$isocntry)] <- t_data$v6[grep(""DE"", ""NL"", ""DK"", ""IE"", t_data$isocntry)];  wt[grep(""GB\\-"", t_data$isocntry)] <- t_data$v8[grep(""GB\\-"", t_data$isocntry)]",GESIS: ZA1207,1981,NA,ZA1207,~/Documents/Projects/Data/gesis_files/eb_files/ZA1207/
eb17,"eb17 <- read_dta(""gesis_files/ZA1208/ZA1208_v1-0-1.dta"")","data_frame(v5 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece""), y_dcpo=1982)","wt-sc <- t_data$v7[grep( , t_data$v150:t_data$v234)]; wt17EU-sc <- t_data$v8[grep( , t_data$v150:t_data$v234)]; wt17-youth <- t_data$v9[grep( , t_data$v13:t_data$v142)]; wt17EU-youth <- t_data$v10[grep( , t_data$v13:t_data$v142)]; wt17-combination <- t_data$v11[grep( , t_data$v143:t_data$v149)]; wt17EU-youth <- t_data$v12[grep( , t_data$v143:t_data$v149)]",GESIS: ZA1208,1982,"(1)Beginning in EuroBaro 17, the UL weight will no longer be a separate variable; the weighting factor for the U.K. will be embedded in the naitonal weights",ZA1208,~/Documents/Projects/Data/gesis_files/eb_files/ZA1208/
eb18,"eb18 <- read_dta(""gesis_files/ZA1209/ZA1209_v1-0-1.dta"")","data_frame(v5 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece""), y_dcpo=1982)",wt <- t_data$v7; wt18EU <- t_data$v8,GESIS: ZA1209,1982,NA,ZA1209,~/Documents/Projects/Data/gesis_files/eb_files/ZA1209/
eb19,"eb19 <- read_dta(""gesis_files/ZA1318/ZA1318_v1-0-1.dta"")","data_frame(v5 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece""), y_dcpo=1983)",wt <- t_data$v6; wt19EU <- t_data$v9,GESIS: ZA1318,1983,"including a specific ""National Weight II"", v8(National Weight, without the Uk weight factor), which should be used with V7(with the two UK weight factors) and V6(countrycode separate Great Britain and Northern Ireland)",ZA1318,~/Documents/Projects/Data/gesis_files/eb_files/ZA1318/
eb20,"eb20 <- read_dta(""gesis_files/ZA1319/ZA1319_v1-0-1.dta"")","data_frame(v5 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece""), y_dcpo=1983)",wt <- t_data$v6; wt20EU <- t_data$v9,GESIS: ZA1319,1983,NA,ZA1319,~/Documents/Projects/Data/gesis_files/eb_files/ZA1319/
eb21,"eb21 <- read_dta(""gesis_files/ZA1320/ZA1320_v1-0-1.dta"")","data_frame(v5 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece""), y_dcpo=1984)",wt <- t_data$v6; wt21EU <- t_data$v9,GESIS: ZA1320,1984,NA,ZA1320,~/Documents/Projects/Data/gesis_files/eb_files/ZA1320/
eb22,"eb22 <- read_dta(""gesis_files/ZA1321/ZA1321_v1-0-1.dta"")","data_frame(v5 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece""), y_dcpo=1984)",wt <- t_data$v6; wt22EU <- t_data$v9,GESIS: ZA1321,1984,NA,ZA1321,~/Documents/Projects/Data/gesis_files/eb_files/ZA1321/
eb23,"eb23 <- read_dta(""gesis_files/ZA1541/ZA1541_v1-0-1.dta"")","data_frame(v5 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece""), y_dcpo=1985)",wt <- t_data$v6; wt23EU <- t_data$v9,GESIS: ZA1541,1985,NA,ZA1541,~/Documents/Projects/Data/gesis_files/eb_files/ZA1541/
eb24,"eb24 <- read_dta(""gesis_files/ZA1542/ZA1542_v1-0-1.dta"")","data_frame(v5 = 1:12, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal""), y_dcpo=1985)",wt <- t_data$v6; wt24EU <- t_data$v9,GESIS: ZA1542,1985,NA,ZA1542,~/Documents/Projects/Data/gesis_files/eb_files/ZA1542/
eb25,"eb25 <- read_dta(""gesis_files/ZA1543/ZA1543_v1-0-1.dta"")","data_frame(v5 = 1:12, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal""), y_dcpo=1986)",wt <- t_data$v6; wt25EU <- t_data$v9,GESIS: ZA1543,1986,NA,ZA1543,~/Documents/Projects/Data/gesis_files/eb_files/ZA1543/
eb26,"eb26 <- read_dta(""gesis_files/ZA1544/ZA1544_v1-0-1.dta"")","data_frame(v5 = 1:12, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal""), y_dcpo=1986)",wt <- t_data$v6; wt26EU <- t_data$v9,GESIS: ZA1544,1986,NA,ZA1544,~/Documents/Projects/Data/gesis_files/eb_files/ZA1544/
eb27,"eb27 <- read_dta(""gesis_files/ZA1712/ZA1712_v1-0-1.dta"")","data_frame(v5 = 1:12, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal""), y_dcpo=1987)",wt <- t_data$v6; wt27EU <- t_data$v9,GESIS: ZA1712,1987,NA,ZA1712,~/Documents/Projects/Data/gesis_files/eb_files/ZA1712/
eb28,"eb28 <- read_dta(""gesis_files/ZA1713/ZA1713_v1-1-0.dta"")","data_frame(v5 = 1:12, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal""), y_dcpo=1987)",wt <- t_data$v6; wt28EU <- t_data$v9,GESIS: ZA1713,1987,NA,ZA1713,~/Documents/Projects/Data/gesis_files/eb_files/ZA1713/
eb281,"eb281 <- read_dta(""gesis_files/ZA2041/ZA2041_v1-0-1.dta"")","data_frame(v6 = 1:12, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal""), y_dcpo=1987)",wt <- t_data$v7; wt281EU <- t_data$v10,GESIS: ZA2041,1987,NA,ZA2041,~/Documents/Projects/Data/gesis_files/eb_files/ZA2041/
eb29,"eb29 <- read_dta(""gesis_files/ZA1714/ZA1714_v1-0-1.dta"")","data_frame(v5 = 1:12, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal""), y_dcpo=1988)",wt <- t_data$v6; wt29EU <- t_data$v9,GESIS: ZA1714,1988,NA,ZA1714,~/Documents/Projects/Data/gesis_files/eb_files/ZA1714/
eb30,"eb30 <- read_dta(""gesis_files/ZA1715/ZA1715_v1-0-1.dta"")","data_frame(v5 = 1:12, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal""), y_dcpo=1988)",wt <- t_data$v6; wt30EU <- t_data$v9,GESIS: ZA1715,1988,NA,ZA1715,~/Documents/Projects/Data/gesis_files/eb_files/ZA1715/
eb31,"eb31 <- read_dta(""gesis_files/ZA1750/ZA1750_v1-0-1.dta"")","data_frame(v5 = 1:12, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal""), y_dcpo=1989)",wt <- t_data$v6; wt31EU <- t_data$v9,GESIS: ZA1750,1989,NA,ZA1750,~/Documents/Projects/Data/gesis_files/eb_files/ZA1750/
eb31A,"eb31A <- read_dta(""gesis_files/ZA1751/ZA1751_v1-0-1.dta"")","data_frame(v5 = 1:12, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal""), y_dcpo=1989)",wtA <- t_dataA$v6; wt31AEU <- t_dataA$v9,GESIS: ZA1751,1989,NA,ZA1751,~/Documents/Projects/Data/gesis_files/eb_files/ZA1751/
eb32,"eb32 <- read_dta(""gesis_files/ZA1752/ZA1752_v1-1-0.dta"")","data_frame(v5 = 1:12, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal""), y_dcpo=1989)",wt <- t_data$v6; wt32EU <- t_data$v8,GESIS: ZA1752,1989,two Euro Weight; Euro Weight I: the same as Euro Weight Before; Euro Weight II:does not include Spain and Portugal(weighted as 0),ZA1752,~/Documents/Projects/Data/gesis_files/eb_files/ZA1752/
eb33,"eb33 <- read_dta(""gesis_files/ZA1753/ZA1753_v1-1-0.dta"")","data_frame(v5 = 1:12, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal""), y_dcpo=1990)",wt <- t_data$v6; wt33EU <- t_data$v8,GESIS: ZA1753,1990,three Euro Weights: v8; v9(exclude Spain and Portugal) and v10(only founder members),ZA1753,~/Documents/Projects/Data/gesis_files/eb_files/ZA1753/
eb34,"eb34 <- read_dta(""gesis_files/ZA1960/ZA1960_v1-0-1.dta"")","data_frame(v6 = 1:14,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway""), y_dcpo=1990)","wt <- t_data$v7; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v12[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA1960,1990,"unlike the ""National Weight I"" in earlier eb (up to 31), the ""weight special United Kingdom"", v7, adjusts all samples to the standard size; also, Norway is excluded (weighted as 0)",ZA1960,~/Documents/Projects/Data/gesis_files/eb_files/ZA1960/
eb341,"eb341 <- read_dta(""gesis_files/ZA1961/ZA1961_v1-0-1.dta"")","data_frame(v6 = 1:13,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany""), y_dcpo=1990)","wt <- t_data$v7; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA1961,1990,Norway is excluded in this survey,ZA1961,~/Documents/Projects/Data/gesis_files/eb_files/ZA1961/
eb342,"eb342 <- read_dta(""gesis_files/ZA1962/ZA1962_v1-0-1.dta"")","data_frame(v6 = 1:13,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany""), y_dcpo=1990)","wt <- t_data$v7; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA1962,1990,NA,ZA1962,~/Documents/Projects/Data/gesis_files/eb_files/ZA1962/
eb35,"eb35 <- read_dta(""gesis_files/ZA2031/ZA2031_v1-1-0.dta"")","data_frame(v6 = 1:13,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany""), y_dcpo=1991)","wt <- t_data$v7; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v12[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2031,1991,NA,ZA2031,~/Documents/Projects/Data/gesis_files/eb_files/ZA2031/
eb351,"eb351 <- read_dta(""gesis_files/ZA2032/ZA2032_v1-0-1.dta"")","data_frame(v6 = 1:13,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany""), y_dcpo=1991)","wt <- t_data$v7; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v12[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2032,1991,NA,ZA2032,~/Documents/Projects/Data/gesis_files/eb_files/ZA2032/
eb35A,"eb35A <- read_dta(""gesis_files/ZA2033/ZA2033_v1-0-1.dta"")","data_frame(v6 = 1:14,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany""), y_dcpo=1991)","wtA <- t_dataA$v7; wt[grep(""DE\\-"", t_dataA$isocntry)] <- t_dataA$v10[grep(""DE\\-"", t_dataA$isocntry)]",GESIS: ZA2033,1991,"Northern Ireland is not included, neither normal ""Nation Weight I"" nor ""Weight Special United Kingdom"" in eb 34; there is only v7, ""Weight_A Result from Target"" but it corresponds to ""Nation Weight II"" in earlier Eb up to 31",ZA2033,~/Documents/Projects/Data/gesis_files/eb_files/ZA2033/
eb36,"eb36 <- read_dta(""gesis_files/ZA2081/ZA2081_v1-1-0.dta"")","data_frame(v6 = 1:14,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway""), y_dcpo=1991)","wt <- t_data$v7; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v12[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2081,1991,Nation II: N.Ireland is not included,ZA2081,~/Documents/Projects/Data/gesis_files/eb_files/ZA2081/
eb37,"eb37 <- read_dta(""gesis_files/ZA2141/ZA2141_v1-1-0.dta"")","data_frame(v5 = 1:14,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway""), y_dcpo=1992)","wt <- t_data$v6; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2141,1992,NA,ZA2141,~/Documents/Projects/Data/gesis_files/eb_files/ZA2141/
eb371,"eb371 <- read_dta(""gesis_files/ZA2241/ZA2241_v1-0-1.dta"")","data_frame(v6 = 1:13,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany""), y_dcpo=1992)","wt <- t_data$v7; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v12[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2241,1992,NA,ZA2241,~/Documents/Projects/Data/gesis_files/eb_files/ZA2241/
eb372,"eb372 <- read_dta(""gesis_files/ZA2242/ZA2242_v1-0-1.dta"")","data_frame(v9 = 1:13,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany(East+West)"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal""), y_dcpo=1992)",wt <- t_data$v10,GESIS: ZA2242,1992,excluding Northern Ireland; thus I use NATION III(United Germany) instead of NATION II(Separate Germany),ZA2242,~/Documents/Projects/Data/gesis_files/eb_files/ZA2242/
eb38,"eb38 <- read_dta(""gesis_files/ZA2294/ZA2294_v1-1-0.dta"")","data_frame(v5 = 1:14,  c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""Greece"", ""Spain"", ""Portugal"", ""Germany"", ""Norway""), y_dcpo=1992)","wt <- t_data$v6; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",GESIS: ZA2294,1992,NA,ZA2294,~/Documents/Projects/Data/gesis_files/eb_files/ZA2294/
